mainCategoryName,mainCategoryKey,categoryName,categoryKey
Featured,228,Featured,228
Featured,228,Cinco de Mayo,229
BBQ & Picnic,234,BBQ & Picnic,234
BBQ & Picnic,234,Grilled Meat & Seafood,235
BBQ & Picnic,234,Cookout Food,236
BBQ & Picnic,234,BBQ & Picnic Supplies,237
Mother's Day,216,Mother's Day,216
Mother's Day,216,Mother's Day Brunch,230
Mother's Day,216,Mother's Day Meal Ideas,231
Mother's Day,216,Mother's Day Gift Ideas,232
Mother's Day,216,Mother's Day Desserts,233
Healthy Living,208,Healthy Living,208
Healthy Living,208,Healthy Food & Snacks,209
ALDI Finds,2,ALDI Finds,2
ALDI Finds,2,Home & Decor,174
ALDI Finds,2,Kitchen Supplies,175
ALDI Finds,2,"Apparel, Shoes & Accessories",177
ALDI Finds,2,"School, Office & Art Supplies",180
ALDI Finds,2,"Baby, Kids & Toys",178
ALDI Finds,2,Personal Care & Beauty,179
ALDI Finds,2,Outdoor Living & Garden,29
ALDI Finds,2,Travel & Automotive,185
ALDI Finds,2,Home Improvement,176
ALDI Finds,2,Pet Goods,181
ALDI Finds,2,Food,134
Dairy & Eggs,10,Dairy & Eggs,10
Dairy & Eggs,10,Milk & Milk Substitutes,76
Dairy & Eggs,10,Eggs,75
Dairy & Eggs,10,Cheese,73
Dairy & Eggs,10,Butter,72
Dairy & Eggs,10,Yogurt & Sour Cream,77
Dairy & Eggs,10,Coffee Creamer,74
Fresh Produce,13,Fresh Produce,13
Fresh Produce,13,Fresh Fruit,89
Fresh Produce,13,Fresh Vegetables ,90
Fresh Produce,13,Salad Kits,167
Fresh Produce,13,Flowers and Plants,161
Fresh Meat & Seafood,12,Fresh Meat & Seafood,12
Fresh Meat & Seafood,12,Fresh Beef,84
Fresh Meat & Seafood,12,Fresh Poultry,86
Fresh Meat & Seafood,12,Fresh Pork,85
Fresh Meat & Seafood,12,Fresh Sausage,87
Fresh Meat & Seafood,12,Fresh Seafood,88
Fresh Meat & Seafood,12,Other Meat & Plant-Based Proteins,171
Deli,11,Deli,11
Deli,11,Deli Meat,78
Deli,11,Lunch Meat,81
Deli,11,Dips & Hummus,79
Deli,11,Prepared Meals & Sides,82
Deli,11,Take & Bake,83
Frozen Foods,14,Frozen Foods,14
Frozen Foods,14,"Frozen Meat, Poultry & Seafood",94
Frozen Foods,14,Frozen Vegetables,163
Frozen Foods,14,Frozen Ice Cream & Desserts,93
Frozen Foods,14,Frozen Fruit,155
Frozen Foods,14,Frozen Breakfast,91
Frozen Foods,14,Frozen Meals & Sides,137
Frozen Foods,14,Frozen Appetizers & Snacks,138
Frozen Foods,14,Frozen Pizza,95
Bakery & Bread,6,Bakery & Bread,6
Bakery & Bread,6,Bread,56
Bakery & Bread,6,Tortillas & Flatbread,59
Bakery & Bread,6,Bakery Desserts,55
Snacks,20,Snacks,20
Snacks,20,"Chips, Crackers & Popcorn",127
Snacks,20,Cookies & Sweets,128
Snacks,20,Nuts & Dried Fruit,129
Snacks,20,Trail Mix,131
Snacks,20,Jerky & Dried Meat,160
Breakfast & Cereals,9,Breakfast & Cereals,9
Breakfast & Cereals,9,Cereal & Oatmeal,162
Breakfast & Cereals,9,"Protein, Granola & Snack Bars",69
Breakfast & Cereals,9,Breakfast Biscuits & Toaster Pastries,147
Pantry Essentials,16,Pantry Essentials,16
Pantry Essentials,16,Canned Foods,102
Pantry Essentials,16,Oils & Vinegars,103
Pantry Essentials,16,Baking Supplies & Ingredients,101
Pantry Essentials,16,Condiments & Dressings,166
Pantry Essentials,16,Sauces & Salsa,104
Pantry Essentials,16,"Jelly, Honey & Nut Butters",157
Pantry Essentials,16,Spices,106
Pantry Essentials,16,"Pasta, Rice & Grains",108
Pantry Essentials,16,Boxed Meals & Side Dishes,156
Pantry Essentials,16,Soups & Broth,105
Beverages,7,Beverages,7
Beverages,7,Water,67
Beverages,7,Coffee,60
Beverages,7,Juice & Cider,62
Beverages,7,Sports Drinks,65
Beverages,7,Soda & Pop,64
Beverages,7,Drink Mixes,61
Beverages,7,Tea,66
Beverages,7,Protein Shakes,63
Alcohol,1,Alcohol,1
Alcohol,1,Red Wine,22
Alcohol,1,White Wine,25
Alcohol,1,Beer,21
Alcohol,1,Specialty Wine,24
Alcohol,1,Sparkling Wine,136
Alcohol,1,Hard Beverages,23
Alcohol,1,Rose Wine,26
Baby Items,5,Baby Items,5
Baby Items,5,Baby Food & Snacks,51
Baby Items,5,"Diapers, Wipes & Wash",53
Pet Supplies,18,Pet Supplies,18
Pet Supplies,18,Dog Food & Treats,114
Pet Supplies,18,Cat Food & Treats,113
Household Essentials,15,Household Essentials,15
Household Essentials,15,Paper & Plastic Products,164
Household Essentials,15,Dishwashing & Cleaning Supplies,165
Household Essentials,15,Candles & Air Fresheners,97
Household Essentials,15,Laundry,98
Household Essentials,15,School & Office Supplies,158
Personal Care,17,Personal Care,17
Personal Care,17,Health & Wellness,111
Personal Care,17,Body & Skin Care,109
Personal Care,17,Hair Care,110
Personal Care,17,Feminine Care,159
Personal Care,17,Oral Care,112
